Street Address,Postal City,County,Price,Beds Total,Sq Ft Total,Full Bath,Half Bath,Lot Size,Age,State,Lat,Lon,Tract,Total Population,Median Income,Walk Score,Bike Score,Comps,School Rating
1295 Sandra Drive,San Jose,Santa Clara,2400888,3,1889,2,1,7321,75,CA,37.2887983,-121.8939928,502500,6760,181563,55,75,1171,6.6
18600 Graystone Lane,San Jose,Santa Clara,3650000,4,3104,2,1,38780,41,CA,37.2203925,-121.8424503,511911,4893,136635,5,57,1173,7.5
1830 Phantom Avenue,Campbell,Santa Clara,1743000,3,1703,2,0,8698,0,CA,37.2905077,-121.9199995,502601,3281,122405,50,42,1174,4.3
2929 Quinto Way,San Jose,Santa Clara,1300000,4,1320,2,0,5225,68,CA,37.2692647,-121.9155988,502902,9023,155000,66,64,1175,7
1727 Eberhard Street,Santa Clara,Santa Clara,1960000,3,1671,2,0,6800,71,CA,37.3546918,-121.9621973,505303,6414,104438,90,80,1177,4.6
1594 Summerfield Drive,Campbell,Santa Clara,2800000,4,2594,3,0,6098,25,CA,37.2752147,-121.9802581,506604,7343,200335,16,49,1179,6.8
1517 Hillsdale Avenue,San Jose,Santa Clara,1450000,3,1144,2,0,6735,68,CA,37.2704463,-121.896616,502903,5220,184615,57,56,1179,4.8
4708 Grimsby Drive,San Jose,Santa Clara,2900000,4,2040,3,0,5610,59,CA,37.2801655,-121.9841675,506604,7343,200335,23,49,1180,6.7
250 N Central Avenue,Campbell,Santa Clara,2100000,4,1873,2,0,6499,33,CA,37.2907547,-121.9433336,506502,4199,108571,65,88,1181,5
1911 Jackson Street ,Santa Clara,Santa Clara,1200000,3,985,1,0,5100,68,CA,37.3576847,-121.9516883,505202,6998,93728,78,70,1182,4.8
850 Richmond Avenue,San Jose,Santa Clara,1825000,3,1333,2,0,6047,70,CA,37.3115098,-121.9221109,502103,4675,68304,73,76,1182,4
3918 Paladin Drive,San Jose,Santa Clara,1800000,3,1356,2,0,8481,63,CA,37.2600798,-121.911798,502908,6617,126917,66,58,1184,7.5
2885 Quinto Way,San Jose,Santa Clara,1920000,3,1320,2,0,5225,68,CA,37.269784,-121.9159989,502902,9023,155000,57,64,1187,7
1681 Mount Vernon Drive,San Jose,Santa Clara,1950000,4,1743,2,0,6301,66,CA,37.291482,-121.9153765,502601,3281,122405,71,54,1188,5.3
1422 Cherry Garden Lane,San Jose,Santa Clara,2400000,3,2041,2,1,7920,59,CA,37.2812906,-121.8931925,503001,4297,152500,48,72,1188,6.6
1465 Padres Drive,San Jose,Santa Clara,2070000,3,1531,2,1,6802,70,CA,37.3072249,-121.8891019,502400,7048,132398,72,88,1189,4.7
1441 Camino Robles Way,San Jose,Santa Clara,2260000,4,2390,2,1,8171,51,CA,37.2245362,-121.8917919,511913,4288,216250,27,27,1189,6
1524 Willowgate Drive,San Jose,Santa Clara,1450000,3,1137,2,0,5789,65,CA,37.2650602,-121.894882,502907,3960,150250,40,52,1192,4.8
1532 Willowgate Drive,San Jose,Santa Clara,1700000,3,1137,2,0,5800,65,CA,37.2649535,-121.8952377,502907,3960,150250,40,52,1192,4.8
1927 Foxworthy Avenue,San Jose,Santa Clara,1500000,4,1400,2,0,7533,65,CA,37.2675192,-121.9261113,502901,6210,134464,66,64,1192,7
1511 Blossom Hill Road,San Jose,Santa Clara,1440000,4,1252,2,0,6771,63,CA,37.239808,-121.8951488,511916,4634,171300,50,52,1193,7.7
116 Savannah Loop,Mountain View,Santa Clara,2200000,4,1840,3,1,1262,8,CA,37.3934373,-122.0670437,509109,5885,188191,33,86,1196,7
2368 Fairgrove Court,San Jose,Santa Clara,2448000,4,1509,2,0,9360,62,CA,37.2810794,-121.9049297,502903,5220,184615,18,48,1198,6.3
1488 Darlene Avenue,San Jose,Santa Clara,1999999,3,1780,2,0,6062,71,CA,37.2826261,-121.8970161,503001,4297,152500,40,71,1199,6.6
1167 Delynn Way,San Jose,Santa Clara,1999999,3,1878,2,0,10620,69,CA,37.2843073,-121.8864564,503001,4297,152500,48,69,1199,6.2
3001 Greentree Way,San Jose,Santa Clara,1600000,3,1491,2,0,6588,64,CA,37.305222,-121.9469777,506402,5714,91667,70,73,1200,5
4337 Watson Circle,Santa Clara,Santa Clara,1960000,3,1657,3,1,2320,18,CA,37.3997625,-121.948522,504903,4735,154730,58,80,1202,5.2
1315 Glen Eyrie Avenue,San Jose,Santa Clara,1480000,3,1139,1,1,9657,0,CA,37.3069135,-121.9110645,502302,3524,104777,62,81,1203,5.2
2501 Maywood Avenue,San Jose,Santa Clara,1500000,2,884,1,0,9875,72,CA,37.309574,-121.9380005,502101,5309,112500,49,63,1203,5
945 Thornton Way,San Jose,Santa Clara,1800000,3,924,1,0,20694,71,CA,37.3095868,-121.9393338,502101,5309,112500,44,61,1203,4.8
807 Shirley Avenue,Sunnyvale,Santa Clara,1910000,3,1747,2,0,6218,72,CA,37.3849397,-122.0363985,509102,4888,172596,43,83,1204,5.5
1967 Abinante Lane,San Jose,Santa Clara,2100000,3,1732,2,0,7050,64,CA,37.2704576,-121.9292893,502901,6210,134464,40,61,1204,7
742 Lakemuir Drive,Sunnyvale,Santa Clara,1450000,3,1108,2,0,5512,65,CA,37.3948041,-122.0042012,504806,2972,113977,50,78,1205,5.4
15871 Mina Way,Saratoga,Santa Clara,6510000,5,5397,5,1,17941,21,CA,37.2681533,-122.0337121,507600,5888,244167,20,54,1206,9.4
1753 Johnston Avenue,San Jose,Santa Clara,2095000,3,1568,2,1,5198,73,CA,37.3006198,-121.8863007,502500,6760,181563,54,60,1207,5.5
721 Enright Avenue,Santa Clara,Santa Clara,1800000,4,2344,2,0,7446,72,CA,37.3415225,-121.9594646,506000,4815,135208,78,84,1207,4.8
2346 Elester Court,San Jose,Santa Clara,2500000,3,1872,3,0,9513,66,CA,37.2503755,-121.9435558,506802,5897,154163,37,46,1207,8
1766 Regina Way,Campbell,Santa Clara,2400000,3,1451,2,0,10573,70,CA,37.2693917,-121.9813687,506701,4177,164115,15,53,1207,7.2
304 Harcot Terrace ,Sunnyvale,Santa Clara,1898515,3,1679,2,1,2262,0,CA,37.3926722,-122.0274074,509001,2696,108897,71,80,1208,5.5
1233 Castlemont Avenue,San Jose,Santa Clara,1804000,3,1446,2,0,5995,65,CA,37.303291,-121.9483998,506402,5714,91667,70,72,1208,4.2
1340 Elwood Drive,Los Gatos,Santa Clara,2300000,5,2620,2,1,9242,54,CA,37.268412,-121.9901203,507205,4651,173409,34,55,1210,7
1962 Kobara Lane,San Jose,Santa Clara,1780000,3,1610,2,1,7276,65,CA,37.2717533,-121.9283559,502901,6210,134464,66,66,1212,6.8
542 Woodhams Road,Santa Clara,Santa Clara,2140000,4,1810,3,0,7820,59,CA,37.3321673,-121.9811244,506101,4175,129420,55,75,1216,6
764 Alice Ave ,Mountain View,Santa Clara,1800000,4,1841,2,1,9877,69,CA,37.3817001,-122.0671214,509111,3659,148056,43,89,1217,7.3
3312 Merrimac Drive,San Jose,Santa Clara,1666666,3,1612,2,0,6120,59,CA,37.2956508,-121.9556209,506505,4894,121731,71,76,1218,4.8
16741 Loma Street,Los Gatos,Santa Clara,3800000,5,2866,4,0,5027,6,CA,37.2292613,-121.9626194,507004,3459,161488,65,77,1220,9
954 Reeve Street,Santa Clara,Santa Clara,1100000,3,972,1,0,6149,102,CA,37.3563496,-121.947511,505202,6998,93728,83,77,1220,4.8
18782 Withey Road,Monte Sereno,Santa Clara,4250000,4,3732,3,1,47045,27,CA,37.2306614,-122.0006701,507003,3088,215000,1,14,1220,9
1784 Market Street,Santa Clara,Santa Clara,1476000,3,1207,2,0,5087,112,CA,37.3426246,-121.9515549,505700,6389,117500,75,90,1222,4.8
647 Lamont Court,Campbell,Santa Clara,2150000,3,1796,2,1,5403,46,CA,37.2765832,-121.9754599,506701,4177,164115,26,53,1223,6.8
1827 CREEK Drive,San Jose,Santa Clara,1250000,2,1167,1,0,5336,72,CA,37.3009682,-121.8822544,502500,6760,181563,37,71,1225,5.5
1798 Fremont Street,Santa Clara,Santa Clara,1680000,3,1262,2,0,6573,112,CA,37.3482252,-121.9546656,505700,6389,117500,72,80,1225,4.8
858 N Central Avenue,Campbell,Santa Clara,2500000,3,1844,2,1,10483,70,CA,37.2996023,-121.9432892,506402,5714,91667,63,75,1225,4.2
1752 Harte Dr ,San Jose,Santa Clara,2150000,4,1688,2,0,7062,61,CA,37.2748746,-121.9131983,502902,9023,155000,40,59,1226,5.2
16330 Matilija Drive,Los Gatos,Santa Clara,3690000,3,3100,2,0,47916,54,CA,37.2310521,-122.0065553,507003,3088,215000,0,11,1227,9.3
553 Fir Avenue,Sunnyvale,Santa Clara,1400000,3,1419,2,0,4392,70,CA,37.3866067,-122.0181916,509002,4424,114000,69,79,1228,5.5
566 Maple Avenue,Sunnyvale,Santa Clara,1920000,3,1288,2,0,5356,72,CA,37.3880582,-122.0194129,509002,4424,114000,73,78,1228,5.5
1074 Glen Echo Avenue,San Jose,Santa Clara,2400000,3,1558,1,1,7702,71,CA,37.3052424,-121.9099309,502302,3524,104777,65,77,1228,5.2
1629 Andalusia Way,San Jose,Santa Clara,2478000,4,1656,2,0,6531,62,CA,37.2799435,-121.9032625,502903,5220,184615,28,50,1229,5.2
719 Bicknell Road,Los Gatos,Santa Clara,4270000,4,2957,4,0,34840,56,CA,37.2506677,-121.9819907,507206,2586,250001,6,2,1229,7
16800 Bohlman Road,Saratoga,Santa Clara,2500000,4,2034,2,1,141134,46,CA,37.2250656,-122.0372866,507302,2846,245517,0,0,1229,9.3
1264 Poplar Avenue,Sunnyvale,Santa Clara,2150000,3,1746,3,0,2994,18,CA,37.354038,-122.0074436,508505,4998,187660,69,66,1230,5.6
871 College Drive,San Jose,Santa Clara,1550000,3,1044,1,1,6213,67,CA,37.3113273,-121.9197772,502103,4675,68304,73,72,1230,4
1722 Canna Lane,San Jose,Santa Clara,1600000,3,1266,2,0,6376,60,CA,37.2310929,-121.9105311,506900,7720,171375,50,26,1235,7.8
615 Bolsa Road,Gilroy,Santa Clara,1285000,2,1040,1,0,514879,70,CA,36.970085,-121.545586,512602,2696,113333,5,29,1236,6.2
1571 Husted Avenue,San Jose,Santa Clara,2350000,3,1888,2,0,6694,69,CA,37.2801782,-121.8992835,503001,4297,152500,47,63,1239,6.3
1765 Ravizza Avenue,Santa Clara,Santa Clara,1350000,3,1038,1,0,4948,0,CA,37.3550214,-121.9723943,505302,4345,124792,70,79,1240,6.6
1442 Sprucewood Drive,San Jose,Santa Clara,1642000,3,1370,2,0,8908,62,CA,37.2475704,-121.8917252,502910,3835,97266,64,54,1240,7.7
618 San Miguel Avenue,Santa Clara,Santa Clara,188000,3,1155,2,0,5624,65,CA,37.3372058,-121.9638858,506000,4815,135208,58,81,1241,5.2
2139 Orestes Way,Campbell,Santa Clara,1900000,3,1483,2,0,6009,58,CA,37.2829493,-121.9741049,506603,4277,224539,64,62,1243,6.8
1361 Peggy Avenue,Campbell,Santa Clara,2020000,3,1336,2,0,10150,71,CA,37.2679816,-121.9696841,506703,3480,116625,34,63,1246,6.6
3531 Forest Avenue,Santa Clara,Santa Clara,1905000,4,1350,2,0,6731,67,CA,37.327216,-121.9610642,505901,3668,148822,66,80,1247,4.8
3957 W Rincon Avenue,Campbell,Santa Clara,2300000,3,1558,2,0,7079,58,CA,37.2821035,-121.9711059,506603,4277,224539,48,55,1248,6.8
15456 Charmeran Avenue,San Jose,Santa Clara,1870000,3,1136,1,0,8559,73,CA,37.2566416,-121.9396005,502704,4042,175603,52,54,1249,8.2
3701 Arbuckle Drive,San Jose,Santa Clara,1875000,3,1485,2,0,6457,64,CA,37.2608033,-121.921733,502800,4442,155385,81,68,1251,7
1214 Brenton Avenue,San Jose,Santa Clara,2610000,5,2432,3,1,6000,59,CA,37.3032668,-121.9900759,506202,8586,156039,42,70,1256,6.2
3457 Santa Barbara Avenue,Santa Clara,Santa Clara,2000000,4,1500,2,0,5344,68,CA,37.3593858,-121.9919416,505305,5831,154173,55,71,1258,5.3
945 Torero Plaza,Campbell,Santa Clara,2000000,3,1484,2,0,6461,59,CA,37.2701833,-121.9665517,506702,6185,112917,19,62,1258,6.6
14305 Branham Lane,San Jose,Santa Clara,2051000,4,1544,2,1,9813,70,CA,37.2511398,-121.9187104,502800,4442,155385,41,46,1258,7.8
2300 Middletown Drive,Campbell,Santa Clara,1980000,4,1512,2,0,6045,60,CA,37.2791445,-121.9691954,506603,4277,224539,26,43,1259,6.8
1006 Live Oak Dr ,Santa Clara,Santa Clara,2250000,3,1481,2,0,6900,59,CA,37.344447,-121.9845007,505403,8775,159150,48,57,1262,5.4
1604 Glenfield Drive,San Jose,Santa Clara,2280000,4,1783,2,0,9775,61,CA,37.2771562,-121.9007062,502903,5220,184615,49,55,1262,5.2
1654 Scott Boulevard,Santa Clara,Santa Clara,1630000,3,1021,2,0,7475,71,CA,37.3539854,-121.9598645,505303,6414,104438,92,76,1264,4.8
704 Bicknell Road,Los Gatos,Santa Clara,3500000,4,3205,3,0,23899,49,CA,37.2522813,-121.981502,507205,4651,173409,6,2,1264,7
53 Cleaves Avenue,San Jose,Santa Clara,1150000,3,1371,1,0,4678,102,CA,37.3301566,-121.9076415,500300,3789,128500,93,89,1265,4.7
4341 Miranda Court,Palo Alto,Santa Clara,5175000,5,3801,4,1,13428,11,CA,37.3910114,-122.127698,511701,4249,217813,12,54,1265,8.2
1116 Beaumont Drive,San Jose,Santa Clara,2190000,4,1607,2,0,6000,58,CA,37.3055054,-121.9902535,506202,8586,156039,30,69,1266,6.2
774 Pershing Avenue,San Jose,Santa Clara,1685000,2,1197,2,0,5087,100,CA,37.336884,-121.9110201,500600,5713,132256,82,89,1267,4.5
102 Brisbane Terrace,Sunnyvale,Santa Clara,1875000,3,1777,2,1,2312,34,CA,37.3803887,-122.028538,508707,4144,140335,78,84,1269,5.6
1703 Valpico Drive,San Jose,Santa Clara,1400000,4,1688,2,0,6510,61,CA,37.2753644,-121.9096864,502902,9023,155000,26,60,1271,5.2
1588 Edmond Court,San Jose,Santa Clara,2348000,4,2158,2,1,9446,51,CA,37.2817133,-121.9010619,503001,4297,152500,37,60,1271,5.8
804 Coakley Drive,San Jose,Santa Clara,1500000,3,1056,1,1,6091,64,CA,37.3129281,-121.9622195,506302,6349,143376,15,56,1272,4.8
6477 Dartmoor Way,San Jose,Santa Clara,3800000,5,3133,3,0,6832,62,CA,37.29712,-122.0191464,507906,4386,227232,31,61,1278,8.7
213 Coventry Drive,Campbell,Santa Clara,1840000,4,1393,2,0,6014,65,CA,37.2900184,-121.9666628,506606,5004,101520,60,76,1280,6
609 Pine Avenue,Sunnyvale,Santa Clara,1935000,3,1565,2,0,5253,69,CA,37.3921283,-122.0291161,509001,2696,108897,73,81,1287,5.5
2170 Cabrillo Ave ,Santa Clara,Santa Clara,1700000,3,1181,2,0,5340,68,CA,37.3586047,-121.9624861,505303,6414,104438,72,81,1288,4.7
483 Rincon Avenue,Sunnyvale,Santa Clara,3620000,4,2255,3,0,6077,5,CA,37.3719273,-122.041527,508601,3762,179821,85,84,1288,6.8
16 Carlyn Avenue,Campbell,Santa Clara,2222000,3,1798,2,0,6885,81,CA,37.2872351,-121.9560431,506503,6066,73355,72,77,1290,4.8
1624 Trona Way,San Jose,Santa Clara,1999999,4,1935,2,0,6529,61,CA,37.2752503,-121.9021066,502903,5220,184615,52,53,1292,4.8
170 S Morrison Avenue,San Jose,Santa Clara,1280000,2,1067,1,0,6474,75,CA,37.32714,-121.908175,500300,3789,128500,92,87,1295,4.7
3472 Bonita Avenue,Santa Clara,Santa Clara,2120000,3,1240,2,0,5817,66,CA,37.3612932,-121.9929633,505305,5831,154173,64,71,1297,5.8
286 N Pastoria Avenue,Sunnyvale,Santa Clara,1180000,1,570,1,0,5459,74,CA,37.3848271,-122.0357769,509102,4888,172596,46,84,1298,5.5
20711 Hanford Drive,Cupertino,Santa Clara,4175000,5,3296,3,1,9775,25,CA,37.3281119,-122.0361987,507806,6012,161779,66,82,1298,8.7
5080 Shady Avenue,San Jose,Santa Clara,2450000,4,2119,2,1,6134,59,CA,37.3013268,-121.9906533,506202,8586,156039,52,70,1301,5.8
5008 Doyle Road,San Jose,Santa Clara,2200000,3,1798,2,0,9141,63,CA,37.3034712,-121.9905201,506202,8586,156039,42,70,1301,6.2
17600 Bruce Avenue,Los Gatos,Santa Clara,4200000,4,3054,3,1,9891,21,CA,37.2372199,-121.9784366,507100,3159,153269,72,79,1304,9
2240 Menzel Place,Santa Clara,Santa Clara,2600000,3,1766,2,1,5539,68,CA,37.3579674,-121.9637303,505303,6414,104438,76,83,1305,4.7
3904 Freed Avenue,San Jose,Santa Clara,1681000,4,1824,2,0,6819,62,CA,37.301567,-121.9701284,506305,6599,79352,20,63,1307,5.7
4035 Payne Avenue,San Jose,Santa Clara,1800000,4,1769,2,0,7085,59,CA,37.3012782,-121.97215,506305,6599,79352,56,68,1307,5.7
1383 Maryann Drive,Santa Clara,Santa Clara,1750000,3,1793,2,1,7152,64,CA,37.3501429,-121.9676403,505500,4392,105417,81,78,1313,6.4
10599 N Stelling Road,Cupertino,Santa Clara,4620000,5,3731,3,1,9625,21,CA,37.3315305,-122.0417934,507806,6012,161779,68,83,1314,8.5
100 S 2nd Street,Campbell,Santa Clara,1650000,2,960,1,1,4699,97,CA,37.2855705,-121.9458223,506502,4199,108571,90,86,1315,5.4
4568 Winding Way,San Jose,Santa Clara,2660000,3,1607,2,0,5487,58,CA,37.3021642,-121.9828792,506202,8586,156039,77,74,1315,6.2
1689 Middleton Avenue,Los Altos,Santa Clara,5600000,6,4254,4,1,10573,20,CA,37.3477365,-122.0758882,510002,3827,224115,42,79,1316,8.5
2951 Humbolt Avenue,Santa Clara,Santa Clara,2130000,3,1487,2,0,9685,71,CA,37.3476182,-121.9797694,505401,6799,133998,66,61,1317,5.4
1678 Vintner ,San Jose,Santa Clara,1710000,3,1794,2,0,5400,46,CA,37.244005,-121.910615,506803,7146,166898,52,43,1323,7.5
1258 Teresita Drive,San Jose,Santa Clara,2050000,4,1973,2,0,7474,63,CA,37.3021968,-121.9883878,506202,8586,156039,54,75,1323,6.2
1747 Clovis Avenue,San Jose,Santa Clara,1500000,3,1437,2,0,8981,63,CA,37.2392439,-121.912776,506803,7146,166898,54,52,1323,7.5
22248 Hammond Way,Cupertino,Santa Clara,5750000,4,4392,4,0,30733,22,CA,37.3311177,-122.082191,511707,2955,153036,5,40,1323,8.7
405 Wilson Avenue,Sunnyvale,Santa Clara,1610000,2,1353,2,0,5720,72,CA,37.3712199,-122.0231655,508602,5153,143029,67,85,1324,5.8
173 Belwood Gateway,Los Gatos,Santa Clara,2650000,4,1748,2,0,10500,58,CA,37.2337776,-121.9154432,506900,7720,171375,49,47,1326,7.5
4963 Tony Avenue,San Jose,Santa Clara,2075000,3,1249,2,0,6060,65,CA,37.2475949,-121.9261335,506802,5897,154163,37,53,1327,8.2
1950 Larsen Place,Santa Clara,Santa Clara,1550000,4,1361,2,0,6271,62,CA,37.3585467,-121.9765262,505302,4345,124792,55,77,1328,6.2
18774 Dundee Avenue,Saratoga,Santa Clara,3480000,4,2493,3,0,10000,71,CA,37.2746597,-121.99896,507402,3996,177750,11,49,1330,7.7
988 Orchid Way,San Jose,Santa Clara,2180000,3,1220,2,0,6378,60,CA,37.3087517,-121.9737272,506304,6240,112358,64,71,1333,5.8
2180 El Capitan Avenue,Santa Clara,Santa Clara,1430000,3,984,2,0,6527,61,CA,37.362494,-121.9652854,505303,6414,104438,54,77,1340,5.7
21426 Rumford Drive,Cupertino,Santa Clara,3500000,4,2146,2,1,7503,54,CA,37.3278134,-122.0493191,507806,6012,161779,26,73,1342,8.5
5526 Sharon Lane,San Jose,Santa Clara,2270000,3,1740,2,0,6380,63,CA,37.2375333,-121.9242444,506804,4459,161724,45,48,1344,7.7
1882 Kay Drive,San Jose,Santa Clara,2242500,3,1460,2,0,6566,63,CA,37.2368025,-121.9237333,506804,4459,161724,47,51,1344,7.7
15328 Via Palomino ,Monte Sereno,Santa Clara,6070000,4,4857,4,2,32092,56,CA,37.2461431,-121.9839676,507206,2586,250001,8,19,1347,9
866 Forest Ridge Drive,San Jose,Santa Clara,2730000,5,2239,2,1,5940,55,CA,37.311156,-121.9914529,506204,5275,155795,71,79,1348,8.2
4720 Grimsby Drive,San Jose,Santa Clara,1560000,4,1354,2,0,5610,59,CA,37.2801121,-121.9843452,506604,7343,200335,23,49,1350,6.7
1731 Blossom Hill Road,San Jose,Santa Clara,1450000,4,1598,2,0,7280,63,CA,37.2365803,-121.9116202,506803,7146,166898,52,51,1351,7.5
18544 Beck Avenue,Monte Sereno,Santa Clara,5800000,5,3771,4,0,47480,122,CA,37.23028,-121.9969389,507003,3088,215000,6,17,1354,9
4249 Manuela Court,Palo Alto,Santa Clara,7900000,5,5126,3,1,39195,44,CA,37.3942619,-122.1341088,511701,4249,217813,15,57,1355,8
3369 Granada Court,Santa Clara,Santa Clara,1760000,3,1166,2,0,6551,68,CA,37.3506105,-121.9887876,505401,6799,133998,88,74,1356,5
3116 Hazelwood Avenue,Santa Clara,Santa Clara,2150000,3,1134,2,0,6322,64,CA,37.3330816,-121.9850116,506101,4175,129420,49,72,1363,5.2
3195 Temple Court,Santa Clara,Santa Clara,2199000,3,1935,2,0,7836,59,CA,37.3320658,-121.9863887,506101,4175,129420,38,72,1363,5.2
1438 Camino Robles Way,San Jose,Santa Clara,3310000,5,2427,4,0,8100,51,CA,37.2240626,-121.8916141,511913,4288,216250,27,27,1364,6
3484 Kenyon Drive,Santa Clara,Santa Clara,2000000,3,1804,2,0,7501,0,CA,37.3345446,-121.9928744,506101,4175,129420,70,81,1368,5.4
208 Orchard Glen Court,Mountain View,Santa Clara,1951000,2,1258,2,1,2893,26,CA,37.394352,-122.0701782,509201,5979,139013,69,89,1371,7
3363 Creighton ,Santa Clara,Santa Clara,2139250,3,1368,2,0,6479,64,CA,37.3627809,-121.9892096,505305,5831,154173,40,63,1372,5.5
13630 Beaumont Avenue,Saratoga,Santa Clara,3989700,4,2951,3,0,12480,67,CA,37.270041,-122.0242091,507500,5856,160205,16,41,1376,9.4
203 Thomas Drive,Los Gatos,Santa Clara,3300000,4,2020,2,0,6489,58,CA,37.2398793,-121.9304671,506804,4459,161724,60,62,1379,7.6
1115 Sussex Square,Mountain View,Santa Clara,2900000,4,2494,2,1,5589,44,CA,37.377469,-122.0728033,509902,4925,145347,81,99,1381,7.3
4668 Lage Drive,San Jose,Santa Clara,2620000,3,1974,2,0,6008,61,CA,37.2769369,-121.982933,506604,7343,200335,14,46,1381,7.2
12162 Woodside Drive,Saratoga,Santa Clara,3350000,5,2371,3,1,9750,66,CA,37.2921018,-122.0066219,507401,5869,220724,32,58,1381,6.8
179 S 1st Street,Campbell,Santa Clara,1050000,1,540,1,0,3726,85,CA,37.2844754,-121.9457445,506502,4199,108571,83,81,1385,5.4
1616 Duvall Drive,San Jose,Santa Clara,1798000,4,1400,2,0,6000,62,CA,37.2927057,-121.9815909,506601,4122,103750,61,72,1385,5.8
340 Schroeder Street,Sunnyvale,Santa Clara,1720000,3,1539,1,0,6554,74,CA,37.384771,-122.0248974,508800,3850,123917,74,76,1388,5.5
1186 Redrock Court,Sunnyvale,Santa Clara,1700000,3,1108,2,0,6559,64,CA,37.3964709,-121.9920748,504802,5165,109783,58,83,1389,5.6
4896 Rio Vista Avenue,San Jose,Santa Clara,2100000,3,1188,2,0,5543,66,CA,37.3210276,-121.9886765,506203,6416,122358,74,68,1396,8
1066 Castleton Way,Sunnyvale,Santa Clara,2520000,4,1808,2,0,6855,49,CA,37.3488585,-122.0035128,508205,3663,158899,71,57,1398,5.4
18759 Cabernet Drive,Saratoga,Santa Clara,3274000,5,2996,3,0,11187,36,CA,37.2906,-121.9980716,507402,3996,177750,81,76,1402,6.7
4735 Lago Vista Circle,San Jose,Santa Clara,1490000,3,1496,2,1,2760,41,CA,37.318603,-121.9877035,506203,6416,122358,34,58,1403,8
967 Sweet Avenue,San Jose,Santa Clara,2400000,3,1219,2,0,6283,65,CA,37.3098407,-121.9803469,506204,5275,155795,76,75,1404,5.8
15119 Dickens Avenue,San Jose,Santa Clara,1875000,3,1053,1,0,9375,70,CA,37.2489293,-121.9376005,506802,5897,154163,29,43,1411,8
2135 Sufonet Drive,San Jose,Santa Clara,2310000,3,1395,2,0,9990,63,CA,37.2457233,-121.9360006,506802,5897,154163,39,54,1414,8
430 Hershner Drive,Los Gatos,Santa Clara,2000000,4,1622,2,0,6265,57,CA,37.2424815,-121.9238666,506804,4459,161724,50,61,1420,7.7
2666 La Salle Way,San Jose,Santa Clara,1999999,3,1467,2,0,6048,62,CA,37.2742378,-121.9914974,506604,7343,200335,11,51,1421,7.2
1139 Crespi Drive,Sunnyvale,Santa Clara,2590000,4,1741,2,0,7172,56,CA,37.3817284,-122.0503153,509106,4067,144056,53,84,1422,6
12596 Paseo Flores ,Saratoga,Santa Clara,4870000,5,3417,4,0,11846,0,CA,37.2846346,-121.9962282,507402,3996,177750,54,75,1425,6.7
686 Spargur Drive,Los Altos,Santa Clara,7100000,6,5850,6,0,16604,2,CA,37.3870566,-122.096482,510400,3875,250001,77,87,1425,8
798 Arroyo Road,Los Altos,Santa Clara,8400000,5,5134,6,0,17402,19,CA,37.3817108,-122.0920218,510200,4699,250001,43,81,1425,8
481 Carmelita Drive,Mountain View,Santa Clara,5300000,5,3912,4,1,10890,0,CA,37.3747116,-122.0724925,509902,4925,145347,69,91,1427,6
120 Spring Street,Los Gatos,Santa Clara,2800000,3,1466,2,0,10147,54,CA,37.2157223,-121.9677958,507002,3429,247679,24,18,1430,9
837 Runningwood Circle,Mountain View,Santa Clara,2408000,3,1801,2,0,5890,45,CA,37.3706143,-122.0630817,509110,3012,186058,33,87,1431,6
1269 Manzano Way,Sunnyvale,Santa Clara,1875000,3,1115,2,0,5741,67,CA,37.3944399,-121.9872328,504802,5165,109783,35,75,1437,5.6
1280 Socorro Avenue,Sunnyvale,Santa Clara,1680000,3,1108,2,0,5933,67,CA,37.3935427,-121.9895872,504802,5165,109783,47,76,1437,5.6
294 Beechnut Avenue,Sunnyvale,Santa Clara,1550000,3,1022,1,0,7644,71,CA,37.3905712,-122.0281836,509001,2696,108897,76,80,1444,5.5
19125 Oahu Lane,Saratoga,Santa Clara,4100000,4,2619,2,1,14466,58,CA,37.2705253,-122.008132,507301,6883,201620,26,40,1444,9.4
2316 Bohannon Drive,Santa Clara,Santa Clara,1825000,3,1995,2,0,6200,70,CA,37.3332588,-121.9580871,505901,3668,148822,64,74,1452,5.2
662 Starr Court,Santa Clara,Santa Clara,2520000,3,1643,3,0,6902,67,CA,37.3349134,-121.9737494,506102,4295,156058,73,89,1453,6
666 Brentwood Drive,San Jose,Santa Clara,2070000,3,1226,2,0,6154,67,CA,37.3147302,-121.9866331,506204,5275,155795,61,67,1455,5.8
1460 Oakhurst Avenue,Los Altos,Santa Clara,9500000,5,5995,5,1,18012,3,CA,37.3558808,-122.0839097,510001,6264,236820,41,72,1455,7.4
1460 Holly Avenue,Los Altos,Santa Clara,5300000,5,3499,5,1,20000,69,CA,37.3549903,-122.0846862,510001,6264,236820,39,72,1455,7.4
717 Inverness Way,Sunnyvale,Santa Clara,3410000,5,2566,3,0,6240,29,CA,37.3414827,-122.0219798,508204,4704,191316,46,66,1456,7.2
266 Santander Court,Los Altos,Santa Clara,4900000,5,2817,2,1,9500,57,CA,37.4005704,-122.1201555,510500,4438,250001,75,85,1458,8
4744 Borina Drive,San Jose,Santa Clara,2366000,3,1322,2,0,6172,63,CA,37.3115996,-121.9866109,506204,5275,155795,61,68,1461,6.2
